Date,Name_of_State,New_cases,New_deaths,New_recovered
2020-06-15,Delhi,2224,56,878
2020-06-16,Delhi,1647,73,604
2020-06-17,Delhi,1859,437,73
2020-06-18,Delhi,2414,67,957
2020-06-19,Delhi,2877,65,3884
2020-06-20,Delhi,3137,66,2228
2020-06-21,Delhi,3630,77,7725
2020-06-22,Delhi,3000,63,1719
2020-06-23,Delhi,2909,58,3589
2020-06-24,Delhi,3947,68,2711
2020-06-25,Delhi,3788,64,2124
2020-06-27,Delhi,6850,127,5654
2020-06-28,Delhi,2948,66,2210
2020-06-29,Delhi,2889,65,3306
2020-06-30,Delhi,2084,57,3628
2020-07-02,Delhi,4641,123,3757
2020-07-03,Delhi,2373,61,3015
2020-07-05,Delhi,5025,140,5249
2020-07-07,Delhi,3623,111,3832
2020-07-08,Delhi,2008,50,2129
2020-07-09,Delhi,2033,48,3982
2020-07-10,Delhi,2187,45,4027
2020-07-11,Delhi,2089,42,2468
2020-07-12,Delhi,1781,34,2998
2020-07-13,Delhi,1573,37,2276
2020-07-14,Delhi,1246,40,1344
2020-07-15,Delhi,1606,35,1924
