Date,Name_of_State/UT,Confirmed_cases,Death,Cured
02-03-2020,Delhi,1,0,0
03-03-2020,Delhi,1,0,0
04-03-2020,Delhi,1,0,0
05-03-2020,Delhi,2,0,0
06-03-2020,Delhi,3,0,0
07-03-2020,Delhi,3,0,0
08-03-2020,Delhi,3,0,0
09-03-2020,Delhi,4,0,0
10-03-2020,Delhi,4,0,0
11-03-2020,Delhi,5,0,0
12-03-2020,Delhi,6,0,0
13-03-2020,Delhi,6,0,0
14-03-2020,Delhi,7,1,1
15-03-2020,Delhi,7,1,2
16-03-2020,Delhi,7,1,2
17-03-2020,Delhi,8,1,2
18-03-2020,Delhi,10,1,2
19-03-2020,Delhi,12,1,3
20-03-2020,Delhi,17,1,3
21-03-2020,Delhi,26,1,5
22-03-2020,Delhi,29,1,5
23-03-2020,Delhi,29,1,5
24-03-2020,Delhi,30,2,6
25-03-2020,Delhi,31,1,6
26-03-2020,Delhi,36,1,6
27-03-2020,Delhi,36,1,6
28-03-2020,Delhi,39,1,6
29-03-2020,Delhi,39,2,6
30-03-2020,Delhi,53,2,6
31-03-2020,Delhi,97,2,6
01-04-2020,Delhi,152,2,6
02-04-2020,Delhi,152,2,6
03-04-2020,Delhi,219,4,8
04-04-2020,Delhi,386,6,8
05-04-2020,Delhi,445,6,15
06-04-2020,Delhi,503,7,18
07-04-2020,Delhi,523,7,19
08-04-2020,Delhi,576,9,21
09-04-2020,Delhi,669,9,21
10-04-2020,Delhi,720,12,25
11-04-2020,Delhi,903,13,25
12-04-2020,Delhi,1069,19,25
13-04-2020,Delhi,1154,24,27
14-04-2020,Delhi,1510,28,30
15-04-2020,Delhi,1561,30,30
16-04-2020,Delhi,1578,32,40
17-04-2020,Delhi,1640,38,51
18-04-2020,Delhi,1707,42,72
19-04-2020,Delhi,1893,42,72
20-04-2020,Delhi,2003,45,72
21-04-2020,Delhi,2081,47,431
22-04-2020,Delhi,2156,47,611
23-04-2020,Delhi,2248,48,724
24-04-2020,Delhi,2376,50,808
25-04-2020,Delhi,2514,53,857
26-04-2020,Delhi,2625,54,869
27-04-2020,Delhi,2918,54,877
28-04-2020,Delhi,3108,54,877
29-04-2020,Delhi,3314,54,1078
30-04-2020,Delhi,3439,56,1092
01-05-2020,Delhi,3515,59,1094
02-05-2020,Delhi,3738,61,1167
03-05-2020,Delhi,4122,64,1256
04-05-2020,Delhi,4549,64,1362
05-05-2020,Delhi,4898,64,1431
06-05-2020,Delhi,5104,64,1468
07-05-2020,Delhi,5532,65,1542
08-05-2020,Delhi,5980,66,1931
09-05-2020,Delhi,6318,68,2020
10-05-2020,Delhi,6542,73,2020
11-05-2020,Delhi,6923,73,2069
12-05-2020,Delhi,7233,73,2129
13-05-2020,Delhi,7639,86,2512
14-05-2020,Delhi,7998,106,2858
15-05-2020,Delhi,8470,115,3045
16-05-2020,Delhi,8895,123,3518
17-05-2020,Delhi,9333,129,3926
18-05-2020,Delhi,10054,160,4485
19-05-2020,Delhi,10054,168,4485
20-05-2020,Delhi,10554,168,4750
21-05-2020,Delhi,11088,176,5192
22-05-2020,Delhi,11659,194,5567
23-05-2020,Delhi,12319,208,5897
